"","X","RECHARGE_VALUE","MIN_RECHARGE_AVG","P2_MADE_CALLS_DURATION","P2_PERC_DAYS_SOCIAL_NETWORK_OTT","PERC_SOCIAL_NETWORK_SESSIONS_IN_P1","PERC_INTERNET_SESSIONS_IN_P1","PERC_RECEIVED_CALLS_DURATION_IN_P2","PERC_P4_RECEIVED_CALLS_DURATION_BY_TOTAL","P23_PERC_DAYS_MADE_CALLS_OTT","WEEKDAY_PERC_INTERNET_MB","WEEKEND_HOLYDAY_PERC_SOCIAL_NETWORK_SESSIONS","WEEKEND_HOLYDAY_P14_WHATSAPP_MB_BY_SESSION","AGE"
"6746",8236,400,100,483,40.51,14,14,45,5,86.9,14.62,26.15,0.11,47
"6747",8239,150,50,209,58.33,8,8,42,16,28.26,42.89,23.57,0,54
"6748",8240,100,50,3,100,24,26,29,6,50,58.31,29.41,0.45,19
"6749",8241,20,20,671,83.33,22,24,43,4,20,100,16.67,0,33
"6750",8242,330,40,71,91.11,21,21,34,6,29.09,5.4,20.13,0.18,19
"6751",8243,460,42,199,0,0,0,52,9,79.45,0,0,0,52
"6752",8246,1580,85.38,35,94.44,21,22,25,11,51.35,29.38,28.13,1.99,19
"6753",8247,300,50,408,46.51,18,18,48,5,63.83,74.66,22.46,0.11,46
"6754",8248,520,12,180,28.57,22,12,44,9,58.23,93.68,9.64,0,23
"6755",8249,250,50,125,95,11,11,35,4,23.26,9.23,25.74,0.45,28
"6756",8250,500,75,15,100,6,6,48,4,5.56,28.27,22.14,0.95,33
"6757",8253,120,20,42,66.67,26,26,42,9,35.71,20.65,21.99,0.02,27
"6758",8254,300,100,680,98.81,24,25,44,3,4.65,9.82,22.76,0.91,50
"6759",8255,100,100,24,75,11,11,33,15,100,3.82,27.17,0.1,39
"6760",8256,100,100,149,77.78,13,12,42,7,26.67,33.24,23.16,0.05,45
"6761",8257,420,47.5,347,100,18,19,42,11,73.56,28.56,19.2,10.16,25
"6762",8258,800,30,89,100,24,22,49,8,14.94,10.19,13.95,2.17,32
"6763",8261,650,50,95,100,12,13,47,9,24.42,20.99,25.38,0.91,31
"6764",8263,500,100,5,96.47,24,24,48,12,88.51,49.4,17.43,0.24,29
"6765",8264,450,50,256,97.33,20,22,31,16,74.67,16.18,25.77,1.35,16
"6766",8267,540,42.5,223,3.39,0,0,52,10,60.87,100,15,0,62
"6767",8269,270,30,200,97.96,21,22,51,2,17.31,65.14,20.29,0.47,20
"6768",8270,150,35,96,51.92,23,21,36,8,63.64,100,16.46,0,30
"6769",8271,300,50,89,100,17,16,33,13,21.28,8.62,24.67,2.37,21
"6770",8272,300,50,780,96.36,21,22,51,3,60.71,0.57,21.11,0.07,23
"6771",8273,500,50,1150,51.25,25,25,37,3,94.05,13.3,24.73,0.68,34
