,RECHARGE_VALUE,RECHARGE_AVG,MIN_RECHARGE_AVG,INSTAGRAM_MB,P2_MADE_CALLS,P2_PERC_DAYS_SOCIAL_NETWORK_OTT,P4_PERC_WHATSAPP_MB,PERC_INTERNET_SESSIONS_IN_P1,PERC_RECEIVED_CALLS_DURATION_IN_P2,WEEKDAY_PERC_INTERNET_MB,WEEKDAY_P23_INSTAGRAM_MB,WEEKDAY_P23_PERC_WHATSAPP_SESSIONS,WEEKEND_HOLYDAY_P14_PERC_WHATSAPP_MB,WEEKEND_HOLYDAY_P14_PERC_BANK_SESSIONS,WEEKEND_HOLYDAY_P14_WHATSAPP_MB_BY_SESSION,DEVICE_CAPABILITY_2G
4527,750.0,25.0,24.0,0.0,339.0,43.59,0.04,7.0,42.0,30.55,0.0,14.02,0.03,13.33,0.0,0
4529,,,,0.0,0.0,69.23,0.0,0.0,60.0,100.0,0.0,15.69,0.0,14.29,0.0,1
4530,110.0,36.67,30.0,0.0,8.0,25.0,0.0,10.0,45.0,80.85,0.0,16.39,0.0,16.67,0.0,0
4531,30.0,30.0,30.0,0.0,0.0,50.0,1.15,0.0,43.0,12.0,0.0,24.39,0.0,14.29,0.0,0
4532,170.0,18.89,15.0,0.0,7.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4534,740.0,46.25,42.5,0.0,223.0,97.59,0.0,24.0,43.0,6.03,0.0,12.03,0.0,12.05,0.0,1
4535,180.0,20.0,20.0,13.86,16.0,77.36,53.23,17.0,34.0,21.28,6.25,34.88,71.99,8.14,0.12,0
4537,100.0,50.0,50.0,0.0,39.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4538,520.0,52.0,30.0,0.0,298.0,20.97,24.61,16.0,37.0,54.95,0.0,22.75,23.3,9.8,3.47,1
4539,520.0,16.77,16.25,0.0,20.0,95.71,82.09,20.0,26.0,19.11,0.0,32.14,88.87,12.82,0.76,0
4540,550.0,91.67,83.33,6.89,358.0,84.21,1.2,14.0,38.0,23.59,5.19,21.38,2.46,11.06,0.19,0
4541,,,,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4542,20.0,20.0,20.0,0.0,1.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4543,200.0,100.0,100.0,0.0,6.0,100.0,2.62,28.0,13.0,20.91,0.0,21.74,2.4,10.24,0.22,0
4544,350.0,50.0,50.0,0.0,292.0,95.92,5.37,20.0,53.0,59.39,0.0,26.54,7.29,7.69,0.02,0
4545,430.0,25.29,20.0,0.0,154.0,98.84,86.36,21.0,40.0,11.97,0.0,30.89,97.15,13.31,2.91,0
4546,730.0,42.94,41.25,0.1,2223.0,98.8,26.6,26.0,25.0,7.54,0.06,21.91,28.3,10.88,2.1,0
4547,160.0,53.33,30.0,0.0,34.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4548,360.0,45.0,43.33,0.0,82.0,4.88,0.0,0.0,49.0,98.08,0.0,22.73,0.0,0.0,0.0,0
4549,400.0,50.0,50.0,0.0,52.0,7.69,0.0,0.0,49.0,0.0,0.0,16.67,0.0,16.67,0.0,1
4550,400.0,200.0,200.0,1239.9,43.0,80.65,5.32,12.0,29.0,35.6,482.62,21.89,6.62,10.36,0.69,0
4551,1700.0,100.0,100.0,0.03,32.0,100.0,2.1,22.0,40.0,12.18,0.0,23.54,2.06,11.26,0.44,0
4554,350.0,70.0,70.0,0.0,12.0,100.0,3.04,22.0,62.0,2.28,0.0,25.85,1.42,10.81,0.24,0
4555,570.0,19.66,19.09,0.0,138.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4556,490.0,44.55,40.0,0.14,297.0,97.26,5.28,22.0,18.0,13.54,0.04,22.02,4.5,11.01,0.28,0
4557,110.0,36.67,36.67,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4558,80.0,26.67,25.0,0.0,440.0,54.76,0.0,19.0,85.0,56.4,0.0,17.72,0.0,16.67,0.0,0
4559,620.0,88.57,84.0,1.91,128.0,97.4,5.53,32.0,41.0,30.5,1.13,20.89,0.84,10.44,0.03,0
4560,320.0,80.0,60.0,0.02,1737.0,80.28,20.66,16.0,26.0,68.82,0.02,32.47,25.66,10.58,0.32,0
4561,,,,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4563,620.0,38.75,30.0,0.0,676.0,100.0,3.66,24.0,45.0,12.54,0.0,26.2,9.06,13.35,0.07,1
4564,450.0,75.0,66.67,0.0,1612.0,7.41,0.0,0.0,74.0,50.71,0.0,22.67,0.0,0.0,0.0,0
4565,300.0,60.0,50.0,0.0,68.0,78.79,73.48,20.0,39.0,17.62,0.0,21.13,19.66,11.01,13.45,0
4566,680.0,68.0,60.0,0.03,510.0,93.1,3.43,7.0,31.0,17.7,0.0,24.08,1.15,10.03,0.14,0
4567,600.0,60.0,20.0,0.0,205.0,100.0,49.2,24.0,30.0,15.61,0.0,27.31,61.35,8.93,3.43,0
4568,3180.0,49.69,49.09,0.0,172.0,100.0,20.07,13.0,61.0,81.4,0.0,27.53,20.37,11.26,0.51,0
4569,370.0,46.25,45.71,0.02,377.0,98.57,51.34,17.0,39.0,40.28,0.0,24.33,57.37,10.64,0.32,0
4570,350.0,50.0,50.0,0.48,256.0,96.15,0.83,24.0,32.0,6.26,0.45,21.75,1.14,12.67,0.13,0
4571,80.0,40.0,30.0,0.0,4.0,66.67,0.0,25.0,69.0,89.58,0.0,22.22,0.0,0.0,0.0,0
4574,60.0,20.0,20.0,0.0,29.0,76.67,0.0,9.0,36.0,100.0,0.0,13.19,0.0,12.5,0.0,0
4575,200.0,25.0,20.0,0.0,23.0,76.92,26.92,10.0,41.0,58.12,0.0,31.54,90.65,11.67,0.48,0
4576,50.0,50.0,50.0,0.0,12.0,100.0,0.24,19.0,42.0,18.12,0.0,19.52,0.49,14.0,0.0,0
4577,50.0,50.0,50.0,0.0,1.0,100.0,10.96,16.0,13.0,71.43,0.0,19.5,7.19,13.04,0.03,0
4578,400.0,133.33,100.0,0.0,31.0,87.5,7.13,9.0,47.0,79.67,0.0,22.25,3.57,11.57,0.03,0
4579,470.0,42.73,40.0,0.12,60.0,100.0,5.71,5.0,32.0,13.65,0.04,31.05,2.9,3.3,0.05,0
4580,30.0,30.0,30.0,0.0,0.0,100.0,4.05,16.0,28.0,26.1,0.0,18.65,4.12,14.74,0.02,0
4581,590.0,53.64,47.5,0.0,1821.0,90.7,0.83,25.0,54.0,13.33,0.0,20.99,0.37,9.92,0.06,0
4586,30.0,30.0,30.0,0.0,1.0,50.0,4.26,0.0,40.0,87.38,0.0,22.22,0.0,0.0,0.0,1
4587,560.0,46.67,40.0,0.05,15.0,100.0,1.48,18.0,41.0,63.12,0.0,16.45,3.52,13.28,0.09,0
4588,500.0,100.0,100.0,0.15,378.0,98.85,0.33,24.0,37.0,15.81,0.0,20.37,0.47,13.33,0.03,0
